Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
163,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 183 СС 47
164,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 190 СС 47
165,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 192 СС 47
166,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 194 СС 47
167,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 195 СС 47
168,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 252 УА 47
169,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 254 СЕ 47
170,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 289 УА 47
171,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 410 СВ 47
172,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 412 СВ 47
173,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 451 СР 47
174,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 452 СР 47
175,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 539 ТТ 47
176,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 543 ТТ 47
177,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 695 СХ 47
178,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 828 СК 47
179,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 829 СК 47
180,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 906 СО 47
181,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 907 СО 47
182,"ООО ""АТП Барс 2""",К-690,ПАЗ 3204,СВ,2010,Евро 3,В 980 СР 47
183,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 125 СТ 47
184,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 188 СС 47
185,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 191 СС 47
186,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 193 СС 47
187,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 198 СС 47
188,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 254 УА 47
189,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 257 УА 47 
190,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 313 СР 47
191,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 314 СР 47
192,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 461 СР 47
193,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 499 СР 47
194,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 544 ТТ 47
195,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 908 СО 47
196,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 909 СО 47
197,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 996 СР 47
198,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 914 СО 47
199,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 915 СО 47
200,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 917 СО 47
201,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 918 СО 47
202,"ООО ""АТП Барс 2""",К-30,ПАЗ 3204,СВ,2011,Евро 3,В 919 СО 47
203,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 117 СТ 47
204,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 118 СТ 47
205,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 123 СТ 47
206,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 199 СС 47
207,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 301 СР 47
208,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 315 СР 47
209,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 402 СС 47
210,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 403 СС 47
211,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 445 СС 47
212,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 446 СС 47
213,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 450 СС 47
214,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 453СР 47
215,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 454 СР 47
216,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 455 СР 47
217,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 458 СР 47
218,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 460 СР 47
219,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 462 СР 47
220,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 858 СТ 47
221,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 859 СТ 47
222,"ООО ""АТП Барс 2""",К-90,ПАЗ 3204,СВ,2011,Евро 3,В 929 СХ 47
223,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 417 СС 47
224,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 317 СР 47
225,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 412 СС 47
226,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 418 СС 47
227,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 413 СС 47
228,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 416 СС 47
229,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2011,Евро 3,В 421 СС 47
230,"ООО ""АТП Барс 2""",487,ЛИАЗ 5256,БВ,2012,Евро 3,В 318 СР 47
231,"ООО ""АТП Барс 2""",168,ЛиАЗ 52922,БВ,2012,Евро 3,В 689 СХ 47
232,"ООО ""АТП Барс 2""",168,ЛиАЗ 52922,БВ,2012,Евро 3,В 690 СХ 47
233,"ООО ""АТП Барс 2""",168,МАЗ 203067,БВ,2012,Евро 3,В 874 ТА 47
234,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 114 СТ 47
235,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 119 СТ 47
236,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 120 СТ 47
237,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 121 СТ47
238,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 122 СТ 47
239,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 609 СХ 47
240,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 610 СХ 47
241,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 613 СХ 47
242,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 614 СХ 47
243,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 693 СХ 47
