Номер,Наименование перевозчика,Номер маршрута,"Марка, модель автобуса",Тип вместимости (ОБ БВ СВ),Год выпуска автобуса,Класс экологической безопасности,Государственный регистрационный знак
244,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 696 СХ 47
245,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 699 СХ 47
246,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 928 СХ 47
247,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 977 СТ 47
248,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 115 СТ 47
249,"ООО ""АТП Барс 2""",К-216,ПАЗ 3204,СВ,2012,Евро 3,В 124 СТ 47
250,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 189 СС 47
251,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 611 СХ 47
252,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 615 СХ 47
253,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 616 СХ 47 
254,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 617 СХ 47
255,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 692 СХ 47
256,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 694 СХ 47
257,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 697 СХ 47
258,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 698 СХ 47
259,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 926 СХ 47
260,"ООО ""АТП Барс 2""",К-345,ПАЗ 3204,СВ,2012,Евро 3,В 998 СР 47
261,"ООО ""АТП Барс 2""",120,ЛиАЗ 52922,БВ,2010,Евро 3,В 927 СХ 47
262,"ООО ""АТП Барс 2""",173,ЛиАЗ 529353,БВ,2010,Евро 3,В 315 РУ 47
263,"ООО ""М.А.К.С.""",19,ЛиАЗ 529353,БВ,2010,Евро 3,ВЕ 830 78
264,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 802 НХ 178
265,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 803 НХ 178
266,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 804 НХ 178
267,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 805 НХ 178
268,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 806 НХ 178
269,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 807 НХ 178
270,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 809 НХ 178
271,"ООО ""М.А.К.С.""",К-218,Iveco Daily,СВ,2012,Евро 4,В 822 НХ 178
272,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 826 НХ 178
273,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 825 НХ 178
274,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 821 НХ 178
275,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 811 НХ 178
276,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 498 КР 178
277,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 490 КР 178
278,"ООО ""М.А.К.С.""",К-289,Iveco Daily,СВ,2011,Евро 3,В 493 КР 178
279,"ООО ""М.А.К.С.""",81,ЛИАЗ 52922,БВ,2012,Евро 4,В 501 МН 178
280,"ООО ""М.А.К.С.""",К-389,Iveco Daily,СВ,2011,Евро 3,В 483 КР 178
281,"ООО ""М.А.К.С.""",К-389,Iveco Daily,СВ,2011,Евро 3,В 488 КР 178
282,"ООО ""М.А.К.С.""",К-389,Iveco Daily,СВ,2011,Евро 3,В 494 КР 178
283,"ООО ""М.А.К.С.""",К-389,Iveco Daily,СВ,2011,Евро 3,В 497 КР 178
284,"ООО ""М.А.К.С.""",К-389,Форд Транзит,СВ,2011,Евро 3,В 719 ЕН 178
285,"ООО ""Оникс""",348,МАЗ 103,БВ,2010,Евро 3,В 033 АХ   178
286,"ООО ""Оникс""",348,МАЗ 103,БВ,2010,Евро 3,В 034 АХ   178
287,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 080 АХ   178
288,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 081 АХ   178
289,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 082 АХ   178
290,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 083 АХ   178
291,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 084 АХ   178
292,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 085 АХ   178
293,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 086 АХ   178
294,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 087 АХ   178
295,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 088 АХ   178
296,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 089 АХ   178
297,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 090 АХ   178
298,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 091 АХ   178
299,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 092 АХ   178
300,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 093 АХ   178
301,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 094 АХ   178
302,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 095 АХ   178
303,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 096 АХ   178
304,"ООО ""Оникс""",К-343,VW 22330 E,СВ,2010,Евро 4,В 097 АХ   178
305,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 066 АЕ 178
306,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 067 АЕ 178
307,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 068 АЕ 178
308,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 069 АЕ 178
309,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 071 АЕ 178
310,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 073 АЕ 178
311,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 074 АЕ 178
312,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 075 АЕ 178
313,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 076 АЕ 178
314,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 077 АЕ 178
315,"ООО ""Пальмира""",К-530,ПАЗ-320402,СВ,2010,Евро-3,В 079 АЕ 178
316,"ООО ""Пальмира""",К-530,ПАЗ-320402-3,СВ,2011,Евро-3,В 804 КВ 178
317,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В 362 РА 178
318,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В 363 РА 178
319,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В 364 РА 178
320,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В 365 РА 178
321,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В 369 РА 178
322,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В 371 РА 178
323,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2013,Евро-4,В367 РА 178
324,"ООО ""Пальмира""",К-433,ПАЗ-320402-03,СВ,2011,Евро-3,В 839 ВХ 178
325,"ООО ""Пальмира""",К-433,ПАЗ-320402-03,СВ,2012,Евро-3,В 186 МК 178
326,"ООО ""Пальмира""",К-433,ПАЗ-320402-03,СВ,2011,Евро-3,В 073 ЕС 178
327,"ООО ""Пальмира""",К-433,ПАЗ-320402-05,СВ,2012,Евро-4,В 470 ММ 178
328,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 602 ВН 178
329,"ООО ""Пальмира""",К-17,ПАЗ-320402-03,СВ,2011,Евро-3,В 151 ВТ 178
330,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 607 ВН 178
331,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 608 ВН 178
332,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 609 ВН 178
333,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 610 ВН 178
334,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 611 ВН 178
335,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 612 ВН 178
336,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 613 ВН 178
337,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 614 ВН 178
338,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 615 ВН 178
339,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 616 ВН 178
340,"ООО ""Пальмира""",К-17,ПАЗ-320402-3,СВ,2011,Евро-3,В 728 ВН 178
341,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 727 ВН 178
342,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 617 ВН 178
343,"ООО ""Пальмира""",К-17,ПАЗ-320402-3,СВ,2011,Евро-3,В 726 ВН 178
344,"ООО ""Пальмира""",К-17,ПАЗ-320402-05,СВ,2012,Евро-4,В 699 КР 178
345,"ООО ""Пальмира""",К-17,ПАЗ320402-3,СВ,2011,Евро-3,В 618 ВН 178
346,"ООО ""Пальмира""",К-92,ПАЗ-320402-03,СВ,2011,Евро-3,В 215 ВУ 178
347,"ООО ""Пальмира""",К-92,ПАЗ-320402-03,СВ,2010,Евро-3,В 849 ЕУ 178
348,"ООО ""Пальмира""",К-92,ПАЗ-320402-03,СВ,2010,Евро-3,В 850 ЕУ 178
349,"ООО ""Пальмира""",К-92,ПАЗ-320402-03,СВ,2010,Евро-3,В 847 ЕУ 178
350,"ООО ""Пальмира""",К-92,ПАЗ-320402-03,СВ,2010,Евро-3,В 846 ЕУ 178
351,"ООО ""Пальмира""",К-92, ПАЗ-320402-03,СВ,2010,Евро-3,В 695 АВ 178
352,"ООО ""Пальмира""",К-92,ПАЗ-320402-3,СВ,2011,Евро-3,В 801 КВ 178
353,"ООО ""Пальмира""",К-92,ПАЗ-320402-3,СВ,2011,Евро-3,В 802 КВ 178
354,"ООО ""Пальмира""",К-92,ПАЗ-320402-3,СВ,2011,Евро-3,В 803 КВ 178
355,"ООО ""Пальмира""",К-92,ПАЗ-320402-03,СВ,2010,Евро-3,В 843 ЕУ 178
356,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2011,Евро-3,В 074 ЕС 178
357,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2011,Евро-3,В 075 ЕС 178
358,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 181 АВ 178 
359,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 183 АВ 178 
360,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 184 АВ 178 
361,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 185 АВ 178 
362,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 186 АВ 178 
363,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 187 АВ 178 
364,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2010,Евро-3,В 188 АВ 178 
365,"ООО ""Пальмира""",К-21,Hyundai Counti,СВ,2011,Евро-3,В 805 КВ 178
366,"ООО ""Пальмира""",К-171 Б,Луидор-22360С,СВ,2012,Евро-5,В 002 НМ 178
367,"ООО ""Пальмира""",К-171 Б,Луидор-22360С,СВ,2012,Евро-5,В 004 НМ 178
368,"ООО ""Пальмира""",К-171 Б,Луидор-22360С,СВ,2012,Евро-5,В 006 НМ 178
369,"ООО ""Пальмира""",К-171 Б,Луидор-22360С,СВ,2012,Евро-5,В 393 НК 178
370,"ООО ""Пальмира""",К-171 Б,Луидор-22360С,СВ,2012,Евро-5,В 737 НВ 178
371,"ООО ""Пальмира""",К-171 Б,Луидор-22360С,СВ,2012,Евро-5,В 325 ОЕ 178
372,"ООО ""Пальмира""",К-171 А,Луидор-22360С,СВ,2012,Евро-5,В 636 МТ 178
373,"ООО ""Пальмира""",К-171 А,Луидор-22360С,СВ,2012,Евро-5,В 637 МТ 178
374,"ООО ""Пальмира""",К-171 А,Луидор-22360С,СВ,2012,Евро-5,В 638 МТ 178
375,"ООО ""Пальмира""",К-171 А,Луидор-22360С,СВ,2012,Евро-5,В 383 НК 178
376,"ООО ""Пальмира""",К-171 А,Луидор-22360С,СВ,2012,Евро-5, В 323 ОЕ 178
377,"ООО ""Пальмира""",К-171 А,Луидор-22360С,СВ,2012,Евро-5,В 324 ОЕ 178
378,"ООО ""Пальмира""",567,МАЗ-103476,БВ,2010,Евро-3,В 758 АК 178
379,"ООО ""Пальмира""",23,МАЗ-103476,БВ,2010,Евро-3,В 760 АК 178
380,"ООО ""Пальмира""",64 А,МАЗ-203067,БВ,2012,Евро-3,В 217 НМ 178
381,"ООО ""Пальмира""",64,МАЗ-203067,БВ,2012,Евро-3,В 218 НМ 178
382,"ООО ""Пальмира""",64,МАЗ-203067,БВ,2012,Евро-3,В 713 НВ 178
383,"ООО ""Пальмира""",64,МАЗ-203067,БВ,2012,Евро-3,В 715 НВ 178
384,"ООО ""Пальмира""",64,МАЗ-203067,БВ,2012,Евро-3,В 716 НВ 178
385,"ООО ""Пальмира""",433,ЛИАЗ-525653,БВ,2011,Евро-3,В 619 ВН 178
386,"ООО ""Пальмира""",433,МАЗ-103465,БВ,2012,Евро-3,В 001 НМ 178
387,"ООО ""Пальмира""",433,ЛИАЗ-525653,БВ,2011,Евро-3,В 622 ВН 178
388,"ООО ""Пальмира""",433,ЛИАЗ-525653,БВ,2011,Евро-3,В 729 ВН 178
389,"ООО ""Пальмира""",резерв,МАЗ-103476,БВ,2010,Евро-3,В 757 АК 178
390,"ООО ""Пальмира""",резерв,МАЗ-103465,БВ,2012,Евро-3,В 322 ОЕ 178
391,"ООО ""ПАССАЖИРТРАНС""",456,22360С,СВ,2012,Евро 5,В 751 КВ 178
392,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2012,Евро 5,В 752 КВ 178
393,"ООО ""ПАССАЖИРТРАНС""",резерв,22360С,СВ,2012,Евро 5,В 753 КВ 178
394,"ООО ""ПАССАЖИРТРАНС""",резерв,22360С,СВ,2011,Евро 3,В 722 КМ 178
395,"ООО ""ПАССАЖИРТРАНС""",резерв,22360С,СВ,2011,Евро 5,В 393 КС 178
396,"ООО ""ПАССАЖИРТРАНС""",46,22360С,СВ,2011,Евро 5,В 394 КС 178
397,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2011,Евро 5,В 395 КС 178
398,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 396 КС 178
399,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2012,Евро 5,В 917 КТ 178
400,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 918 КТ 178
401,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 919 КТ 178
402,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2012,Евро 5,В 921 КТ 178
403,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2012,Евро 5,В 922 КТ 178
404,"ООО ""ПАССАЖИРТРАНС""",резерв,22360С,СВ,2011,Евро 5,В 113 КУ 178
405,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 114 КУ 178
406,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 115 КУ 178
407,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 116 КУ 178
408,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2011,Евро 5,В 117 КУ 178
409,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 118 КУ 178
410,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 943 КУ 178
411,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 944 КУ 178
412,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 945 КУ 178
413,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 946 КУ 178
414,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 401 КХ 178
415,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 402 КХ 178
416,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 403 КХ 178
417,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 404 КХ 178
418,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 405 КХ 178
419,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 406 КХ 178
420,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 407 КХ 178
421,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 438 КХ 178
422,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 439 КХ 178
423,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 440 КХ 178
424,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2011,Евро 5,В 441 КХ 178
425,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2011,Евро 5,В 442 КХ 178
426,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 443 КХ 178
427,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 445 КХ 178
428,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 446 КХ 178
429,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 448 КХ 178
430,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 449 КХ 178
431,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 450 КХ 178
432,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 851 КХ 178
433,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2011,Евро 5,В 852 КХ 178
434,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 853 КХ 178
435,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2011,Евро 5,В 854 КХ 178
436,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 855 КХ 178
437,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2011,Евро 5,В 856 КХ 178
438,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2011,Евро 5,В 857 КХ 178
439,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2011,Евро 5,В 858 КХ 178
440,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 798 МА 178
441,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2011,Евро 5,В 799 МА 178
442,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2012,Евро 5,В 788 НК 178
443,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2012,Евро 5,В 789 НК 178
444,"ООО ""ПАССАЖИРТРАНС""",12,22360С,СВ,2012,Евро 5,В 791 НК 178
445,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2012,Евро 5,В 792 НК 178
446,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2012,Евро 5,В 793 НК 178
447,"ООО ""ПАССАЖИРТРАНС""",резерв,22360С,СВ,2012,Евро 5,В 794 НК 178
448,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2012,Евро 5,В 795 НК 178
449,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2012,Евро 5,В 796 НК 178
450,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2012,Евро 5,В 798 НК 178
451,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2012,Евро 5,В 800 НК 178
452,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2012,Евро 5,В 315 СС 47
453,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2012,Евро 5,В 316 СС 47
454,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 317 СС 47
455,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2012,Евро 5,В 318 СС 47
456,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 489 РУ 178
457,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 490 РУ 178
458,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 491 РУ 178
459,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 492 РУ 178
460,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 493 РУ 178
461,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 494 РУ 178
462,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 495 РУ 178
463,"ООО ""ПАССАЖИРТРАНС""",600,22360С,СВ,2013,Евро 5,В 496 РУ 178
464,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 497 РУ 178
465,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 499 РУ 178
466,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 500 РУ 178
467,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 201 СВ 178
468,"ООО ""ПАССАЖИРТРАНС""",49,22360С,СВ,2013,Евро 5,В 626 СВ 178
469,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2013,Евро 5,В 627 СВ 178
470,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2013,Евро 5,В 628 СВ 178
471,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2013,Евро 5,В 629 СВ 178
472,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2013,Евро 5,В 630 СВ 178
473,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2013,Евро 5,В 631 СВ 178
474,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2013,Евро 5,В 632 СВ 178
475,"ООО ""ПАССАЖИРТРАНС""",резерв,22360С,СВ,2013,Евро 5,В 633 СВ 178
476,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 634 СВ 178
477,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 635 СВ 178
478,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 636 СВ 178
479,"ООО ""ПАССАЖИРТРАНС""",680,22360С,СВ,2013,Евро 5,В 637 СВ 178
480,"ООО ""ПАССАЖИРТРАНС""",39,22360С,СВ,2013,Евро 5,В 638 СВ 178
481,"ООО ""ПАССАЖИРТРАНС""",217,22360С,СВ,2013,Евро 5,В 639 СВ 178
482,"ООО ""ПАССАЖИРТРАНС""",62,МАЗ-203066,БВ,2011,Евро 3,В 901 МА 178
483,"ООО ""ПАССАЖИРТРАНС""",62,МАЗ-203066,БВ,2011,Евро 3,В 902 МА 178
484,"ООО ""ПАССАЖИРТРАНС""",62,МАЗ-203066,БВ,2011,Евро 3,В 903 МА 178
485,"ООО ""ПАССАЖИРТРАНС""",62,МАЗ-203066,БВ,2011,Евро 3,В 904 МА 178
486,"ООО ""ПАССАЖИРТРАНС""",62,МАЗ-203066,БВ,2011,Евро 3,В 905 МА 178
