Идентификатор маршрута,Сокращенное наименование маршрута,Наименование маршрута,Тип маршрута,Тип транспорта,Круговой маршрут,Городской/Пригородный,Ночной
1674,26,"А.С. ""КИРОВСКИЙ ЗАВОД"" - МОСКОВСКИЙ ВОКЗАЛ",3,Автобус,0,1,0
1849,483А,"Г. ЗЕЛЕНОГОРСК, ВОКЗАЛ - САНАТОРИЙ ""СОСНОВЫЙ БОР""",3,Автобус,0,0,0
1850,494,"""ПОС. БЕЛООСТРОВ"" - АЛЕКСАНДРОВСКОЕ ШОССЕ, САДОВОДСТВО ""САДЫ""",3,Автобус,0,0,0
1851,497,Ж.-Д. СТАНЦИЯ ПЕСОЧНАЯ - ПОС. ЧЕРНАЯ РЕЧКА,3,Автобус,0,0,0
1853,117,ТРОИЦКОЕ ПОЛЕ - УЛ. САМОЙЛОВОЙ,3,Автобус,0,1,0
2072,8А,"СТ - СТ. МЕТРО ""ЕЛИЗАРОВСКАЯ"" -СТ. МЕТРО ""ПЛ. АЛЕКСАНДРА НЕВСКОГО""",3,Автобус,0,1,0
2093,4,"УТКИНА ЗАВОДЬ-РЕКА ""ОККЕРВИЛЬ""",3,Автобус,0,1,0
2193,187шк,"ПУШКИН, А.С. ""ЖЕЛЕЗНОДОРОЖНАЯ УЛ."" - ""СЛАВЯНКА"", РОСТОВСКАЯ УЛ.",3,Автобус,0,0,0
2213,84А,"ПОС.ЛЕВАШОВО, ВОКЗАЛ - ПОС.НОВОСЕЛКИ, КАРЬЕР",3,Автобус,0,0,0
2293,154А,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - ШУВАЛОВСКИЙ ПР.",3,Автобус,0,1,0
2313,126,"СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ"" - СТ. МЕТРО ""СТАРАЯ ДЕРЕВНЯ""(КОЛЬЦЕВОЙ)",3,Автобус,1,1,0
2338,126 Т,ст. метро Старая деревня- ст. метро Старая деревня,3,Автобус,0,0,0
2435,55,ТАЛЛИНСКАЯ УЛ. - ЕДИНЫЙ ЦЕНТР ДОКУМЕНТОВ,3,Автобус,0,1,0
2455,134Ш,ШКОЛЬНАЯ УЛ. - ГБОУ ГИМНАЗИИ №540,3,Автобус,0,1,0
2636,К-58,"станция метро ""Озерки"" - пр. Культуры ",3,Автобус,0,1,0
2637,К-59,"станция метро ""Московские ворота"", Московский пр., д. 103  - станция метро ""Купчино"", Балканская пл.",3,Автобус,0,1,0
2656,К-2,ж.-д. станция Лигово - Никольская пл.,3,Автобус,0,0,0
2657,К-60,"пр. Стачек, д. 90 - пр. Народного Ополчения, д. 205",3,Автобус,0,1,0
2658,К-3,"Московский пр., д.1 - Шушары, Школьная ул.",3,Автобус,0,0,0
2659,К-175,"ТРК ""Северный молл"", пр. Культуры, д. 41 - Авт. станция ""Наличная""",3,Автобус,0,1,0
2675,К-6,"станция метро ""Новочеркасская"" - ул. Академика Константинова, д.1",3,Автобус,0,0,0
2678,К-7,"Садовая ул., д. 39-41 - наб. реки Фонтанки, д. 201",3,Автобус,0,0,0
2679,К-8,"станция метро ""Площадь Александра Невского"" - Уткина Заводь",3,Автобус,0,0,0
